Trans name,Altamaha_SW48_000107-4_p08
hydrogenation/dehydrogenation,259
C_1H_2O1,227
CH4_O,210
C_1O1,198
CH6O_1,188
H4,181
C_1H2O,176
C1,172
H_2C1,170
C2H2O_1,156
methanol (-H2O),155
C2O_1,149
H6,147
C_2H_2O2,145
CH_4,145
C2H4O_1,142
H_2O1,142
H_4O1,140
hydroxylation (-H),133
C_1H4O,132
C3H4O_2,127
C2H_2O_1,125
C1H4,121
C2H6O_1,118
C3H2O_2,112
C_2O2,111
C_2H2O2,110
H_6O1,110
condensation/dehydration,109
H8,103
C_1H_6O2,93
C2H8O_1,92
CH6,92
C_1H_2O2,91
C_3H_2O3,90
C_1H_4O2,85
C2,79
H10,78
C2H2,78
C_1H_1N1,74
NH_CH2,72
CH_1N_1O,71
H4O,70
C_1O2,70
C3H2O_1,68
C2H_2,67
CH_4O,65
C1H2O1,64
C3O_1,63
H3O_1N1,61
H1O1N_1,60
Formic Acid (-H2O),60
H5O_1N1,59
CHN_1O,57
H_1O1N_1,57
ethyl addition (-H2O),55
C3H4O_1,55
H3N_1O1,53
H_2C1O1,53
C3H6O_1,51
C1H_1N1O_1,50
C_1H2O2,50
H_4O2,49
H_1N1,49
H_2O2,48
C_1H_5N_1O2,47
secondary amine,46
H_1O2N_1,45
C2H8,45
H3N1,44
C_1H4O2,43
H1O2N_1,43
C1H4O1,40
N1H_3,39
C1H6O1,39
CH5NO_1,39
C1H3N1O_1,39
C1H1N1O_1,38
H5O1N_1,38
H5N1,36
C2H3N1O_2,35
H2O2,34
O2,34
C8H12O1S2,29
C1H_2O2,29
C4H4O_1,27
O_1S1,27
C3H2,27
acetylation (-H2O),27
C2HN_1O,27
C1H_1N1,25
C4H6O_1,24
C3H4,23
C2H4O1,23
C3H6,23
C2H_2O,22
C4H8O_1,22
H4O2,22
C3,21
CHN_1O2,21
C_1H1N_1S1,21
C1H5N1,20
C1H4O_1S1,19
C2H6O1,19
Carboxylation_CO2,19
C4H2O_1,19
C12H8S2,19
C3H_1N1O_2,18
C2H4O2,18
CH3N,17
O2H6,17
CH_4O2,17
H_2S1,17
C_1O3,16
O3,16
C2O1,16
C4H4,16
C3H4O1,16
C2H3NO_1,16
H2O_1S1,16
C4H2,15
C3O,15
C3H8,15
H1N1O1,15
H_1N1O1,14
C2H2O2,14
C2H5O_1N1,14
C1H1N1,14
C3H1N1O_1,13
C2H7N1O_1,13
C3H2O1,13
C12H8N4O1,13
C2H3N_1O2,12
H2S,12
C4H12O_1,12
C3O2,12
S1,11
H2O3,11
C4,11
C1H4O2,11
H_2O3,10
C1H2O2,10
glyoxylate (-H2O),10
C4H2O,10
C2H_2O2,10
C3H6O1,10
C13H16N4O2,10
C13H14O2N4,10
CH6O2,10
H16,9
C4H8,9
H_2N_2O2,9
C2H8O,9
C1H4S1,9
C2O3,9
O1S1,9
CO3,8
C6H6O1N4,8
C3H2O2,8
C4H6O1,8
C2H4O2S2,7
C5H8O_1,7
C5H7N_1,7
C4H6,7
C4H8O1,7
H2O4,7
H_2S1C1,6
C2H5N,6
H_1N1O2,6
C4H4O1,6
C5H2O,6
H2N2O_1,6
H6N2O_1,6
C2H2O3,6
C2H3N1O2,6
C5H6O1,6
O_1H4N2,6
C3H8O1,5
H4O3,5
C3H3N1O_1,5
C2H7N1,5
C1H2O3,5
C2H6O2,5
C2H5N1,5
CH_2O3,5
C1H1O1N1,5
CH3NO,5
C5H10O1,5
CH2O4,4
C7H8O1N4,4
C2H4O3,4
CH_4O3,4
C2H5N1O1,4
S2O32-,4
C3H6O2,4
C6H8O2,4
C2H6O3S2,4
C2H4O3S2,4
C3H4O2,4
C4O,4
C6H14O_1,4
C1H4O3,4
C4H3F1N2O1,4
C5H8,4
C6H14,4
C5H8O1S1,4
C3H7N1O_1,4
C9H13O2N3,4
C6H8O,4
C3H3N,4
C2H6O4,4
Methionine,4
C5H8O1,3
C1H2O_1N2,3
C2H2O2S_1,3
C3H5N1O_1,3
C7H12O1S1,3
C4H6O2,3
O4,3
adenosine (-H2O),3
C3H3N1O1,3
C4H2O3,3
tertiary amine,3
C2H6O3,3
C4H4O3,3
H1O2N1,3
C7H4O4S1,3
C6H3N1O3S1,3
C6H10O1,3
C5H6O2,3
acetotacetate_(_H2O)_C4H4O2,3
C4H10O,3
C9H11O2N3,3
C6H10O3S1,3
C6H6O2,3
C1O_1N2,3
C2H3N,3
C6H8,2
O3S1,2
C5H13O_1N1,2
C5H4O1,2
H2O3S1,2
C4H2O2,2
C3H4O3,2
C3O3,2
C6H8N4O1,2
erythose (-H2O),2
C4H6O1S1,2
C5H2O1N4,2
SO42-,2
guanosine (-H2O),2
C7H8,2
C3H8O4,2
C8H12,2
C7H6,2
C3H6O3,2
C2H2O4,2
C4H5N1O_1,2
C1H3N1O2,2
C4O2,2
C5H4,2
C1H4O1S1,2
C5H6O3,2
O2S1,2
C7H10O1,2
C2H7O1N1,2
C5H8O3,2
C4H7N1O1S1,2
C5H6,2
C3H3N_1O4,2
C3H7N1O1S1,1
C2H5O2N1S1,1
C1H1N_1O3S2,1
C8H8,1
C4H8O3,1
C3H4O4,1
C6H14O1,1
C7H5N1O3,1
C21H20O2N2,1
C20H21N1O3,1
guanine (-H),1
C10H8O1,1
H2N1O_1,1
C5H3N5,1
C9H8O1,1
C5H6O4,1
C6H8O3,1
C5H4O4,1
C7H17N3O_1,1
C6O2,1
C2H3N_1O3S2,1
C6H4O3,1
C2H2O4S1,1
C8H8O1,1
C4H8O4,1
C5H5N5O_1,1
C8H6O1,1
C5H2N4,1
C4H6O4,1
C5H3N5O_1,1
C6H10O2,1
primary amine,1
C1H3,1
C6H8N1S1,1
O_2S2,1
O1N1,1
CHO,1
C2H5O1,1
C1H_1O2,1
C4H9N1O_2,1
C19H22O1N2,1
C10H10F1N3O5,1
C13H6N2O4,1
C9H15N1O5S1,1
biotinyl (-H),1
C15H22O2,1
C21H22O3N2,1
C7H13N3O3,1
C10H11O_1N5,1
C8H12N2O3,1
H_3N_3O3,1
C7H9O3N3,1
C7H7N5O1,1
C6H11O5,1
C6H14O1N4,1
C18H14N2O6,1
C8H13N3O2,1
C3H6O5S1,1
C7H9N3O1,1
C8H14O6,1
C5H10O2,1
C5H2O_1N4,1
C5H8O2,1
C4H3O2N1,1
C3H8O3,1
C6H4O1,1
C2H4O4,1
C6H5N1,1
C4H8O2,1
C7H4,1
Serine,1
C7H1N_1O1,1
Glycine,1
C5H7N1,1
C6H4,1
C2H1N1O2,1
C4H7N1,1
C4H5N1,1
C4H3N1,1
C1H1O2F1,1
C2H6S1,1
C1H7N3,1
H3O1,1
NH4+,1
C3H10N1,1
malonyl_group_(_H2O)_C3H2O3,1
